Gender,NameSet,Title,GivenName,MiddleInitial,Surname,StreetAddress,City,State,StateFull,ZipCode,CountryFull,EmailAddress,Username,TelephoneNumber,TelephoneCountryCode,MothersMaiden,Birthday,Age,Occupation,Domain,Country,Number,Company
female,American,Mrs.,Tammy,L,Shirk,"2358 rue Parc",Sherbrooke,QC,Quebec,"J1E 3B2",Canada,TammyLShirk@einrot.com,Knougguent,819-437-6402,1,Berry,6/15/1968,55,"Amusement machine repairer",WomenHumor.ca,CA,30,"Incredible Universe"
male,American,Mr.,Emmett,E,Oliver,"1117 Lyons Avenue",Preston,ON,Ontario,"N3H 3M9",Canada,EmmettEOliver@gustr.com,Vies1996,519-650-8090,1,Bowman,7/15/1996,27,"Account collector",ForwardDrop.ca,CA,31,Weathervane
female,American,Ms.,Marjorie,G,Johnson,"3235 Papineau Avenue",Montreal,QC,Quebec,"H2K 4J5",Canada,MarjorieGJohnson@einrot.com,Whomest,514-945-2902,1,Dennis,10/24/1989,33,"Materials engineer",LoanLien.ca,CA,32,"Best Biz Survis"
female,American,Mrs.,Terri,S,Davis,"1331 Isabella Street",Pembroke,ON,Ontario,"K8A 5S5",Canada,TerriSDavis@cuvox.de,Arprot,613-639-6255,1,Ridlon,11/21/1985,37,"Delivery services truck driver",ByeBankruptcy.ca,CA,33,"Shoe Kicks"
male,American,Mr.,John,E,Strawn,"3424 Calgary Avenue",Penticton,BC,"British Columbia","V2A 2T6",Canada,JohnEStrawn@rhyta.com,Bagith,250-490-6716,1,Hayes,3/16/1980,43,"Vegetable cook",CapitalRooms.ca,CA,34,"Tech Hifi"
male,American,Mr.,Junior,L,McDowell,"4228 Kinchant St",Mission,BC,"British Columbia","V2V 1J7",Canada,JuniorLMcDowell@einrot.com,Pureart,604-826-4542,1,Crutcher,5/8/1975,48,"Vending machine servicer",AutoStations.ca,CA,35,Edwards
male,American,Mr.,Jeffrey,K,Benitez,"1647 Burnt Island Road",Windermere,ON,Ontario,"P0B 1P0",Canada,JeffreyKBenitez@rhyta.com,Frearpok,705-769-9613,1,Bedard,7/15/1988,35,"Extruding and drawing machine setters",BirthdayInsider.ca,CA,36,"Bumper to Bumper Auto Parts"
male,American,Dr.,Dennis,E,Gomes,"496 St Jean Baptiste St","St Wenceslas",QC,Quebec,"G0Z 1J0",Canada,DennisEGomes@fleckens.hu,Montering,819-224-6797,1,Hubbard,8/29/1975,47,Chiropractor,GroupJournal.ca,CA,37,"Tee Town"
male,American,Mr.,Humberto,D,Adelman,"56 Dry Pine Bay Rd",Gogama,ON,Ontario,"P0M 1W0",Canada,HumbertoDAdelman@superrito.com,Wrick1958,705-894-1590,1,Lockhart,4/23/1958,65,"Mail machine operator",PrivateEquityTracker.ca,CA,38,"Block Distributors"
female,American,Ms.,Ruby,G,Lowe,"1206 Acton Avenue",Toronto,ON,Ontario,"M3H 4J1",Canada,RubyGLowe@fleckens.hu,Loven1960,416-812-3304,1,McCulloch,5/30/1960,63,Economist,LandscapeCover.ca,CA,39,"Alpha Beta"
male,American,Mr.,Adrian,T,Thomas,"1224 Higginsville Road",Brookfield,NS,"Nova Scotia","B0N 1M0",Canada,AdrianTThomas@armyspy.com,Hancy1974,902-650-0596,1,Pelt,11/21/1974,48,"Encoding clerk",LostReviews.ca,CA,40,"Pro Star"
female,American,Mrs.,Dora,D,Robinson,"4516 rue Ellice",Joliette,QC,Quebec,"J6E 3E8",Canada,DoraDRobinson@teleworm.us,Chicelf,450-803-3930,1,Alexander,7/12/2002,21,"Immigration and Naturalization Service (INS) inspector",SurferLive.ca,CA,41,"Elm Farm"
male,American,Mr.,Albert,M,McQueen,"4908 Park Ct",Sangudo,AB,Alberta,"T0E 2A0",Canada,AlbertMMcQueen@superrito.com,Thice1997,780-785-1156,1,Meier,10/7/1997,25,"Image consultant",SymphonyMagazine.ca,CA,42,"Independent Investors"
male,American,Mr.,Vincent,A,Horn,"2235 Parkdale Ave",Brockville,ON,Ontario,"K6V 4X4",Canada,VincentAHorn@rhyta.com,Withing,613-498-4925,1,Jones,9/9/1966,56,"Geodetic surveyor",AnimeTips.ca,CA,43,"Square Circle"
female,American,Ms.,Jennifer,C,Arriola,"4055 Wyecroft Road",Burlington,ON,Ontario,"L7R 3X7",Canada,JenniferCArriola@armyspy.com,Theabsitters55,905-407-4440,1,Pulley,8/13/1955,67,"Dental assistant",TempNets.ca,CA,44,"Rogers Peet"
male,American,Mr.,Randy,D,Bohannon,"3119 Tanner Street",Vancouver,BC,"British Columbia","V5R 2T4",Canada,RandyDBohannon@jourrapide.com,Prinnexparm,604-314-7468,1,Marko,8/21/1947,75,"Pesticide sprayer",BakeryReview.ca,CA,45,"Big D Supermarkets"
female,American,Mrs.,Sue,H,Moreno,"3715 Pine Street","Mulhurst Bay",AB,Alberta,"T0C 2C0",Canada,SueHMoreno@gustr.com,Treff1967,780-389-7144,1,Cowden,3/20/1967,56,"Order processor",PlumbingDesigners.ca,CA,46,"Simply Save"
male,American,Mr.,Victor,B,Colon,"1424 St George Street",Vancouver,BC,"British Columbia","V5T 1Z7",Canada,VictorBColon@gustr.com,Hithorable,604-675-8651,1,Eckert,12/5/1953,69,"Physical therapist aide",ComputerShuffle.ca,CA,47,"Nelson Brothers"
female,American,Mrs.,Connie,J,Hockenberry,"278 Heritage Drive",Calgary,AB,Alberta,"T2V 2W2",Canada,ConnieJHockenberry@superrito.com,Houdishon,403-852-2046,1,Gibson,9/26/1969,53,"Transportation ticket agent",FreeGrade.ca,CA,48,"Little Folk Shops"
female,American,Ms.,Judy,A,Lee,"1100 Hardy Street",Kelowna,BC,"British Columbia","V1Y 8H2",Canada,JudyALee@fleckens.hu,Oack1997,250-215-9836,1,Lawrence,11/3/1997,25,"Operations director",TXTStudent.ca,CA,49,"Handy Andy Home Improvement Center"
female,American,Ms.,Nina,R,Knapp,"1089 Hyde Park Road",London,ON,Ontario,"N6H 3S2",Canada,NinaRKnapp@teleworm.us,Swornes03,519-472-7438,1,Blaine,6/29/2003,20,"Shipping-and-receiving supervisor",SunHabits.ca,CA,50,"Forest City"
male,American,Mr.,Cody,L,Samuels,"1737 Carling Avenue",Ottawa,ON,Ontario,"K1Z 7B5",Canada,CodyLSamuels@armyspy.com,Hisdow2003,613-759-0102,1,Lewis,11/21/2003,19,"Family therapist",FundraisingProfessor.ca,CA,51,"Flagg Bros. Shoes"
female,American,Ms.,Penny,R,Conn,"2139 Carling Avenue",Ottawa,ON,Ontario,"K1Z 7B5",Canada,PennyRConn@dayrep.com,Sholebabluch,613-292-5530,1,Harvey,6/2/1954,69,"Labor relations manager",MediaChronicles.ca,CA,52,"Fresh Start"
female,American,Mrs.,Myrtle,J,Wilder,"1807 Water Street",Kitchener,ON,Ontario,"N2H 5A5",Canada,MyrtleJWilder@superrito.com,Wasterbought,519-578-4433,1,Bales,7/11/1954,69,"Corporate administrative assistant",ShavedPoints.ca,CA,53,"Platinum Interior Design"
female,American,Dr.,Nora,J,Sinquefield,"2178 5th Avenue",Hythe,AB,Alberta,"T0H 2C0",Canada,NoraJSinquefield@cuvox.de,Soccring,780-356-3176,1,Edwards,7/19/1983,40,"Judiciary translator",AudioFail.ca,CA,54,Kent's
male,American,Mr.,Charles,D,Robinson,"3188 Garafraxa St",Chatsworth,ON,Ontario,"N0H 1G0",Canada,CharlesDRobinson@cuvox.de,Camither,519-794-3176,1,Kelly,1/26/1971,52,"Pile driver operator",ImmediateScreening.ca,CA,55,"Monk House Sales"
male,American,Mr.,Ricky,J,Altom,"364 Factory Lane",Lumsden,NL,"Newfoundland and Labrador","A1C 5H6",Canada,RickyJAltom@rhyta.com,Thaver,709-530-6154,1,Manning,3/20/1956,67,"Recruitment manager",TreeShopping.ca,CA,56,"Affinity Investment Group"
male,American,Mr.,Larry,J,Tibbetts,"2744 Reserve St","Seeleys Bay",ON,Ontario,"K0H 2N0",Canada,LarryJTibbetts@superrito.com,Youtheiges69,613-387-2676,1,Gomez,5/14/1969,54,Sculptor,FootballNumber.ca,CA,57,Multicerv
male,American,Mr.,Edward,S,Jobe,"370 Bellwood Acres Rd",Huntsville,ON,Ontario,"P0A 1K0",Canada,EdwardSJobe@teleworm.us,Speould,705-787-5565,1,Riggio,1/26/1966,57,Blaster,AgentAbuse.ca,CA,58,"Pace Membership Warehouse"
male,American,Mr.,Marco,V,Toller,"1568 Brand Road",Saskatoon,SK,Saskatchewan,"S7K 1W8",Canada,MarcoVToller@jourrapide.com,Ardis1969,306-249-3379,1,Perez,11/24/1969,53,"Payroll representative",CostumeAwards.ca,CA,59,Edwards
male,American,Mr.,Joseph,K,Caldera,"2925 Parkdale Avenue",Hamilton,ON,Ontario,"L8K 1A4",Canada,JosephKCaldera@rhyta.com,Starountor57,905-547-8400,1,Sheppard,3/16/1957,66,Historian,RegionalPosting.ca,CA,60,"Your Choices"
male,American,Mr.,Raymond,A,Anderson,"2521 90th Avenue",Empress,AB,Alberta,"T0J 1E0",Canada,RaymondAAnderson@jourrapide.com,Bountly,403-565-5205,1,Irwin,9/17/1974,48,"Homeowner association manager",WirelessSleep.ca,CA,61,"Bresler's Ice Cream"
male,American,Mr.,Clarence,E,Tolbert,"4010 Playfair Avenue",Toronto,ON,Ontario,"M4J 3S3",Canada,ClarenceETolbert@gustr.com,Hourne1992,416-421-7224,1,Puls,5/26/1992,31,"Lay-out worker",HolyChoices.ca,CA,62,"Planet Profit"
male,American,Mr.,Steve,S,Spencer,"149 Brew Creek Rd",Whistler,BC,"British Columbia","V0N 1B0",Canada,SteveSSpencer@fleckens.hu,Fitiong,604-907-7452,1,King,11/16/1947,75,"Painting restorer",WeekendStudent.ca,CA,63,"Tape World"
female,American,Ms.,Santa,K,Ellis,"2132 Pape Ave",Toronto,ON,Ontario,"M4E 2V5",Canada,SantaKEllis@superrito.com,Indands,416-885-1552,1,Ledoux,3/27/1975,48,Dressmaker,FileWipes.ca,CA,64,"Joshua Doore"
male,American,Mr.,James,C,Moseley,"3412 Yonge Street",Toronto,ON,Ontario,"M4W 1J7",Canada,JamesCMoseley@dayrep.com,Witheirate,416-473-3124,1,Washington,6/3/1965,58,Woodworker,SoldierResources.ca,CA,65,"Reliable Investments"
male,American,Mr.,Sheldon,E,Clark,"4679 Reserve St",Hastings,ON,Ontario,"K0L 1Y0",Canada,SheldonEClark@gustr.com,Andithers,705-696-2695,1,Merritt,6/28/2002,21,Psychiatrist,CardFlips.ca,CA,66,"Atlas Realty"
male,American,Mr.,Gregory,J,Manning,"3157 Goyeau Ave",Windsor,ON,Ontario,"N9A 1H9",Canada,GregoryJManning@gustr.com,Litarly,519-790-1406,1,Wills,10/24/1992,30,"Lathe and turning machine tool operator",SEOJungle.ca,CA,67,"National Lumber"
male,American,Mr.,George,B,Richards,"2707 MacLaren Street",Ottawa,ON,Ontario,"K1P 5M7",Canada,GeorgeBRichards@armyspy.com,Faily1969,613-760-9420,1,Jenks,6/18/1969,54,"Radio operator",ItCheaper.ca,CA,68,"Fragrant Flower Lawn Services"
male,American,Mr.,Alberto,V,Avallone,"4764 Blind Bay Road",Westwold,BC,"British Columbia","V0E 3B0",Canada,AlbertoVAvallone@superrito.com,Threecul55,250-375-0332,1,Guernsey,6/27/1955,68,"Corporate accountant",RingChat.ca,CA,69,"Johnson's General Stores"
male,American,Mr.,Anthony,M,Goodson,"2555 Toy Avenue",Ajax,ON,Ontario,"L1S 6L6",Canada,AnthonyMGoodson@rhyta.com,Wivereore,905-999-6999,1,Bangert,12/4/1955,67,"Image consultant",TrustyToys.ca,CA,70,"John M. Smyth's Homemakers"
female,American,Mrs.,Brenda,E,Pence,"597 56th Street",Wetaskiwin,AB,Alberta,"T1T 1T1",Canada,BrendaEPence@teleworm.us,Prefte,780-362-6978,1,Frick,3/28/1973,50,"Tax examiner",RealEstateWhois.ca,CA,71,"Four Leaf Clover"
female,American,Mrs.,Glenda,H,Jenkins,"437 Bloor Street",Vegreville,AB,Alberta,"T0B 4L0",Canada,GlendaHJenkins@cuvox.de,Unget1991,780-603-0374,1,Anderson,4/23/1991,32,"Long haul truck driver",CyberLevel.ca,CA,72,"Integra Design"
female,American,Ms.,Mary,A,Spaulding,"2528 90th Avenue",Hussar,AB,Alberta,"T0J 1S0",Canada,MaryASpaulding@rhyta.com,Thationstery,403-787-7036,1,Chagoya,6/20/1979,44,"Registered nurse anesthetist",AnimeOriginals.ca,CA,73,Ejecta
male,American,Mr.,Marcos,S,Anderson,"131 Sixth Street","New Westminster",BC,"British Columbia","V3L 3C1",Canada,MarcosSAnderson@gustr.com,Surser,604-787-9070,1,Bell,11/27/1964,58,"Securities, commodities, and financial services sales agent",NailDrop.ca,CA,74,"Target Source"
male,American,Mr.,Matthew,L,Scott,"2659 Benton Street",Kitchener,ON,Ontario,"N2G 4L9",Canada,MatthewLScott@rhyta.com,Dered1997,519-572-5367,1,Rogers,3/8/1997,26,"Power plant mechanic",ClientPodcast.ca,CA,75,"Harvest Foods"
female,American,Ms.,Rosetta,D,Miller,"3937 Findlay Creek Road",Kimberley,BC,"British Columbia","V0B 1T0",Canada,RosettaDMiller@armyspy.com,Cassenthe,250-432-0520,1,Burmeister,12/31/1982,40,"Diesel service technician",WormTrap.ca,CA,76,Intelacard
female,American,Ms.,Willie,D,Houser,"875 Carlson Road","Prince George",BC,"British Columbia","V2L 5E5",Canada,WillieDHouser@gustr.com,Bousel,250-961-7358,1,Jones,2/23/1978,45,"Technical support specialist",RecordDebt.ca,CA,77,"New World Realty"
female,American,Mrs.,Mary,H,Tilford,"4974 Northumberland Street",Ayr,ON,Ontario,"N0B 1E0",Canada,MaryHTilford@superrito.com,Evenand,519-632-5288,1,Callahan,2/14/1986,37,"Tower controller",AdvertisingBars.ca,CA,78,"Mr. Clark's Appliances"
female,American,Mrs.,Michele,W,Chang,"2766 Terry Fox Dr",Fillmore,SK,Saskatchewan,"S4P 3Y2",Canada,MicheleWChang@fleckens.hu,Restargem,306-722-1346,1,Kemp,7/19/1954,69,"Medical geographer",PoshApartments.ca,CA,79,"Vibrant Man"
female,American,Mrs.,Victoria,A,Hall,"2126 MacLaren Street",Ottawa,ON,Ontario,"K1P 5M7",Canada,VictoriaAHall@cuvox.de,Dirld1976,613-943-6968,1,Smith,7/4/1976,47,"Glass installer",NoiseBreak.ca,CA,80,"Pay'N Takeit"
male,American,Mr.,Shawn,A,Edwards,"4744 9th Avenue",Tillsonburg,ON,Ontario,"N4G 4H2",Canada,ShawnAEdwards@fleckens.hu,Rectudid,519-550-3735,1,Williamson,7/26/1978,44,Woodworker,HouseholdJunk.ca,CA,81,"Pearl Architectural Design"
male,American,Mr.,William,M,Welch,"3750 St Jean Baptiste St",Woburn,QC,Quebec,"G0Y 1R0",Canada,WilliamMWelch@gustr.com,Wandrang,819-544-1730,1,Baxter,4/14/1983,40,"Financial investigator",MultipleCloud.ca,CA,82,Roberd's
female,American,Mrs.,Diane,J,McCall,"546 49th Avenue",Holman,NT,"Northwest Territories","X0E 0S0",Canada,DianeJMcCall@cuvox.de,Selignes,867-396-1209,1,Thomsen,3/25/1981,42,"Executive office administrator",MortgageForge.ca,CA,83,"Total Serve"
female,American,Ms.,Shawana,J,Stewart,"188 Gateway Blvd",Edmonton,AB,Alberta,"T6H 1J5",Canada,ShawanaJStewart@rhyta.com,Hignat,780-432-3403,1,Cracraft,6/1/1948,75,Dermatologist,TransferTest.ca,CA,84,Beatties
female,American,Mrs.,Amber,D,Colbert,"2580 Mill Street",Seaforth,ON,Ontario,"N0K 1W0",Canada,AmberDColbert@jourrapide.com,Blocared1968,519-522-4979,1,Baucom,6/5/1968,55,"Computer software engineer",OurOfferings.ca,CA,85,"Listen Up"
male,American,Mr.,James,C,Parker,"578 Pine Street","Alder Flats",AB,Alberta,"T0C 0A0",Canada,JamesCParker@rhyta.com,Woongests90,780-388-0547,1,Haas,10/12/1990,32,"Personnel analyst",LousyParents.ca,CA,86,"WWW Realty"
male,American,Mr.,Glen,A,Babb,"4934 Eglinton Avenue",Toronto,ON,Ontario,"M4P 1A6",Canada,GlenABabb@jourrapide.com,Saise1959,416-517-3070,1,Soles,10/16/1959,63,"Allopathic surgeon",CellRank.ca,CA,87,"Joshua Doore"
female,American,Mrs.,Tara,W,Casteel,"2025 Barton Street","Stoney Creek",ON,Ontario,"L8G 2V1",Canada,TaraWCasteel@armyspy.com,Justays,905-560-6726,1,McDonald,6/19/1949,74,"Atmospheric scientist",FishingScape.ca,CA,88,"Nan Duskin"
male,American,Mr.,Andrew,P,Binns,"2070 5th Avenue",Fairview,AB,Alberta,"T0H 1L0",Canada,AndrewPBinns@teleworm.us,Usbarce,780-834-1966,1,Copeland,10/3/1995,27,"ATF agent",CelebSuite.ca,CA,89,"Belle Ladi"
male,American,Mr.,Hugh,S,Strohm,"199 St. John Street",Cabri,SK,Saskatchewan,"S4P 3Y2",Canada,HughSStrohm@jourrapide.com,Werepher,306-587-5928,1,Gonzales,5/2/1961,62,"Reinforcing iron and rebar worker",BlogSelections.ca,CA,90,Hill-Behan
male,American,Mr.,Jeff,D,Jackson,"478 184th Street",Edmonton,AB,Alberta,"T5J 2R4",Canada,JeffDJackson@superrito.com,Ackithe98,780-446-6463,1,Walter,11/3/1998,24,"Legal secretary",EverythingBonds.ca,CA,91,"Carrols Restaurant Group"
male,American,Mr.,Samuel,H,Patterson,"2775 René-Lévesque Blvd",Montreal,QC,Quebec,"H3B 4W8",Canada,SamuelHPatterson@superrito.com,Thattrught89,514-995-0627,1,Vandyke,5/1/1989,34,"Grief counselor",EqualForum.ca,CA,92,"Discount Furniture Showcase"
male,American,Mr.,Ronald,R,Joseph,"3648 Davis Drive",Markham,ON,Ontario,"L3P 2M4",Canada,RonaldRJoseph@einrot.com,Younnoullits,905-472-2510,1,Isaac,10/19/1963,59,"Steadicam operator",VoipHere.ca,CA,93,"Boston Sea Party"
female,American,Mrs.,Anne,K,Seman,"2629 James Street",Vancouver,BC,"British Columbia","V5W 3C3",Canada,AnneKSeman@rhyta.com,Vionfichis,604-341-4770,1,Harris,9/9/1985,37,"Employment service specialist",CheapBlogging.ca,CA,94,"Reliable Investments"
male,American,Mr.,Edward,E,Studdard,"2259 Thurston Dr",Orleans,ON,Ontario,"K1C 1T1",Canada,EdwardEStuddard@armyspy.com,Whentom,613-830-4571,1,Chandler,1/1/1959,64,Erector,OrthoTraffic.ca,CA,95,"Friendly Advice"
female,American,Ms.,Lynette,G,Robinson,"495 rue Levy",Montreal,QC,Quebec,"H3C 5K4",Canada,LynetteGRobinson@dayrep.com,Leong1970,514-791-9653,1,Sherrer,6/6/1970,53,"Laboratory animal technologist",PoloTalk.ca,CA,96,"Forth & Towne"
male,American,Mr.,Jerome,P,Woods,"3065 43rd Avenue",Joussard,AB,Alberta,"Y1Y 1Y1",Canada,JeromePWoods@teleworm.us,Gons1964,780-776-0470,1,Carter,12/29/1964,58,"Funeral director",TimelessLink.ca,CA,97,"Hudson's MensWear"
female,American,Ms.,Carol,A,Sigler,"1492 rue St-Paul","Ste Agathe",QC,Quebec,"J3P 6S2",Canada,CarolASigler@rhyta.com,Theird1960,819-325-9008,1,Johnson,11/8/1960,62,Polisher,LacrosseListings.ca,CA,98,"The Happy Bear"
male,American,Mr.,Omar,L,Hall,"2208 Halsey Avenue",Toronto,ON,Ontario,"M3B 2W6",Canada,OmarLHall@cuvox.de,Forn1961,416-716-6916,1,Patterson,12/20/1961,61,Marine,CentralRebates.ca,CA,99,"Las Vegas Yard Management"
